,0
0,"ELECTION MANIFESTO—1996     Our Vision, Our Faith, Our Commitment It is out of the past that the future is moulded."
1,"It is the past that becomes the future... —Swami Vivekananda Even as this century draws to a close and the millennium to ins, India stands at a critical crossroad of history."
2,Centuries’ old hopes and aspirations of our people yearn for a true expression.
3,The destiny of our land and its people cries for fulfilment.
4,At such crucial turns historical choices are made and instruments of change adopted.
5,That destined vehicle of change is the Bharatiya Janata Party.
6,Never before in the long history of our land has the country been governed by such a morally rudderless and financially corrupt regime.
7,Seldom have our trusting people been duped by a baser band.
8,"With the people’s hopes belied and their aspirations thwarted, our ancient land stands today face to face with the option of a real change, a chance for a true departure from the last 50 years of Congress misrule, an alternative and an option: The Bharatiya Janata Party."
9,Our people are looking towards the BJP to become just this instrument of change.
10,The party is ready to shoulder this great duty and responsibility.
11,"The task is nothing short of rekindling the lamp of our eternal ‘Dharma’, that Sanatan thought which our sages bequeathed to mankind — a social system based on compassion, cooperation, justice, freedom, equality and tolerance."
12,"To reallse this goal, the BJP will launch a new social, economic and political order."
13,"It will strive to transform the existing system of   2 , to make it responsive and answerable to the concerns of our citizens."
14,It will strive to make the economy cater to the largest demands of the largest number.
15,The party will endeavour to place in the service of the nation a political organisation that is conscientous and clean.
16,"Above all, the BJP will secure for India a place in the comity of nations which befits its vast cultural, intellectual, economic, scientific and human wealth."
17,"We realise that correcting the mistakes of the last 50 years of Congress misrule, of piecing together the shattered dreams of our citizens, of restructuring our polity which has been delivered a body blow by the present regime, of restoring 10 the state’s authority and reviving faith in the Government, is by no means an easy task."
18,"But we also realise that only the BJP has the ideological commitment, moral conviction and political courage to shoulder this task and gently guide our nation into the next millennium."
19,"The present millennium began with the subjugation of our ancient land; let a reinvigorated, proud, prosperous and strong India herald the next millennium."
20,"In this noble mission, we shall be guided by our Manifesto — it contains our commitments to the nation and its citizens."
21,"Our state governments in Uttar Pradesh, Himachal Pradesh, Madhya Pradesh, Maharashtra, Rajasthan, Gujarat and Delhi have demonstrated that for the BJP, these commitments constitute a sacred covenant with the people."
22,We do what we say.
23,This Manifesto shall be the covenant of our government.
24,"With a BJP Government at the Centre, the next five years will be devoted to implementing our Manifesto based on the four concepts of Suraksha, Shuchita, Swadeshi and Samrasata."
25,"Hindutva, or cultural nationalism, shall be the rainbow which will bridge our present to our glorious past and pave the way for an equally glorious future; it will guide the transition from Swarajya to Surajya."
26,"Our Manifesto reflects the application of these four concepts in good governance and their role in moulding the nation we dreamt of on the dawn of Independence — a prosperous and strong India, a country where every citizen regards this land of ours, this Bharatbhoomi, that stretches from the Indus to the seas, as his sacred motherland."
27,"The BJP believes in one nation, one people, and one culture."
28,"We are, therefore, committed to promoting social reconciliation rather than conflict."
29,"We are resolved to put an end to the politics of competitive communalism, of appeasement, and of casteism."
30,"The politics of pitting caste against caste, community against community and class against class has torn asunder our social fabric."
31,The BJP will reweave this fabric into a harmonious pattern.
32,"   2 Nation, Our State, Our Government A New Direction, A New Dispensation."
